dataset,model,selector,selector_type,best_epoch,best_val_score,num_val_corruptions,val_corruption_names,val_corruption_severity,test_clean_acc,test_corrupt_mean_acc,robustness_gap,experiment_dir,checkpoint_path
imagenet100,convnext,corr_k3_s2,corrupt,13,0.2606837606837606,3,"gaussian_noise, motion_blur, fog",2,0.5463846153846154,0.3525384615384615,0.1938461538461538,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_convnext_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_convnext_seed42/best_corr_k3_s2.pt
imagenet100,convnext,corr_k5_s2,corrupt,13,0.3507521367521368,5,"gaussian_noise, motion_blur, fog, brightness, jpeg_compression",2,0.5463846153846154,0.3539076923076923,0.192476923076923,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_convnext_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_convnext_seed42/best_corr_k5_s2.pt
imagenet100,resnet,clean,clean,20,0.4222649572649573,0,,0,0.4206923076923077,0.1873846153846153,0.2333076923076923,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_resnet_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_resnet_seed42/best_clean.pt
imagenet100,resnet,corr_k1_s2,corrupt,5,0.0682905982905982,1,gaussian_noise,2,0.2133846153846154,0.1123230769230769,0.1010615384615384,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_resnet_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_resnet_seed42/best_corr_k1_s2.pt
imagenet100,resnet,corr_k3_s2,corrupt,19,0.1007834757834757,3,"gaussian_noise, motion_blur, fog",2,0.4183846153846154,0.185876923076923,0.2325076923076923,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_resnet_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_resnet_seed42/best_corr_k3_s2.pt
imagenet100,resnet,corr_k5_s2,corrupt,20,0.1906153846153846,5,"gaussian_noise, motion_blur, fog, brightness, jpeg_compression",2,0.4206923076923077,0.1874461538461538,0.2332461538461538,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_resnet_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_resnet_seed42/best_corr_k5_s2.pt
imagenet100,vgg,clean,clean,20,0.6844444444444444,0,,0,0.6908461538461539,0.3698461538461538,0.321,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vgg_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vgg_seed42/best_clean.pt
imagenet100,vgg,corr_k1_s2,corrupt,6,0.1335042735042735,1,gaussian_noise,2,0.544923076923077,0.268076923076923,0.2768461538461539,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vgg_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vgg_seed42/best_corr_k1_s2.pt
imagenet100,vgg,corr_k3_s2,corrupt,20,0.2464102564102564,3,"gaussian_noise, motion_blur, fog",2,0.6908461538461539,0.3693692307692308,0.3214769230769231,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vgg_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vgg_seed42/best_corr_k3_s2.pt
imagenet100,vgg,corr_k5_s2,corrupt,20,0.3720769230769231,5,"gaussian_noise, motion_blur, fog, brightness, jpeg_compression",2,0.6908461538461539,0.37,0.3208461538461539,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vgg_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vgg_seed42/best_corr_k5_s2.pt
imagenet100,vit,clean,clean,14,0.4716239316239316,0,,0,0.4703076923076923,0.3206,0.1497076923076922,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vit_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vit_seed42/best_clean.pt
imagenet100,vit,corr_k1_s2,corrupt,12,0.4001709401709402,1,gaussian_noise,2,0.4603846153846154,0.3203846153846154,0.14,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vit_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vit_seed42/best_corr_k1_s2.pt
imagenet100,vit,corr_k3_s2,corrupt,16,0.2877207977207977,3,"gaussian_noise, motion_blur, fog",2,0.4701538461538461,0.3258,0.1443538461538461,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vit_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vit_seed42/best_corr_k3_s2.pt
imagenet100,vit,corr_k5_s2,corrupt,16,0.3248803418803418,5,"gaussian_noise, motion_blur, fog, brightness, jpeg_compression",2,0.4701538461538461,0.3260615384615384,0.1440923076923077,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vit_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vit_seed42/best_corr_k5_s2.pt
